"id"	"Q1"	"Q2"	"Q3"	"Q4"	"Q5"	"Q6"	"title"	"abstract"	"doi"
"abs12843"	"0"	""	""	""	""	"1"	"Do Polls Influence Opinions? Investigating Poll Feedback Loops Using the Novel Dynamic Response Feedback Experimental Procedure"	"Opinion polls may inadvertently affect public opinion, as people may change their attitudes after learning what others think. A disconcerting possibility is that opinion polls have the ability to create information cascades, wherein the majority opinion becomes increasingly larger over time. Testing poll influence on attitudes toward Syrian refugees and mandatory measles vaccination, we field survey experiments on a probability-based online survey panel. Through a novel automated procedure labeled the dynamic response feedback, we measure whether the answers from early poll respondents can influence the opinions of subsequent respondents who learn the answers of the previous respondents. Using this procedure, no feedback loops are identified."	"10.1177/0894439317731721"
"abs12439"	"0"	""	""	""	""	"0"	"MANUFACTURING SOVEREIGNTY AND MANIPULATING HUMANITARIANISM: THE DIPLOMATIC RESOLUTION OF THE MERCENARY REVOLT IN THE DEMOCRATIC REPUBLIC OF CONGO, 1967-8"	"In 1967, European and Katangese mercenaries revolted against the rule of Mobutu Sese Seko in the Democratic Republic of Congo (DRC). The International Committee of the Red Cross (ICRC) intervened to try to have the rebels peacefully leave the DRC. Katangese troops who fled to Rwanda with white mercenaries were forced by the Organization of African Unity and the Rwandan government to return to the DRC, where they were eventually executed. White mercenaries, under the protection of the ICRC and Rwanda, ultimately escaped Mobutu's wrath. Congolese and Rwandan leaders skillfully employed the ideal of African sovereignty and humanitarian rhetoric with its Western and African allies to ensure their consolidation of power."	"10.1017/S0021853719000471"
"abs07902"	"0"	""	""	""	""	"0"	"Are HIV/AIDS services in Leeds, UK, able to meet the needs of asylum seekers?"	"Background: The Yorkshire and Humberside region of England ranks second only to London for reception of those seeking asylum in the UK. Human immunodeficiency virus (HIV) prevalence amongst asylum seekers is likely to mirror that in the country of origin. In 2001, the city of Leeds received 1100 asylum seekers, including dependents. Many of these were from areas with high seroprevalence of HIV, and HIV-infected asylum seekers require medical and social support. Are the current services for HIV-infected persons in Leeds appropriate and adequate for this new patient group? Provision of sexual health services for this client group needs to be evaluated. Objectives: To determine whether existing HIV/acquired immunodeficiency syndrome (AIDS) services in Leeds meet the needs of HIV-positive asylum seekers. Methods: This was a qualitative study using semi-structured interviews. Seven service providers and 14 HIV-positive patients at Leeds Centre for Sexual Health, six of whom were asylum seekers, took part in the study. Results: Asylum seekers and UK residents were equally satisfied with HIV/AIDS services at Leeds Centre for Sexual Health. Other agencies such as the Health Access Team and Terrence Higgins Trust had different strengths that provided valuable support for this client group. Unmet needs of asylum seekers were identified, such as specialist services for torture victims and educational opportunities. In areas of asylum seeker dispersal with increased case loads, this methodology may inform development of client-centred care networks. (c) 2004 The Royal Institute of Public Health. Published by Elsevier Ltd. All rights reserved."	"10.1016/j.puhe.2004.05.015"
"abs01101"	"0"	""	""	""	"0"	"1"	"Self-reported prevalence of periodontal disease among the Spanish population and immigrants: 2006, 2011/12 and 2017: a population-based study"	"Background Periodontal disease is one of the most common pathologies in the population. Self-reporting has been used as a diagnostic tool in large populations, among other reasons, to detect the needs of potentially vulnerable groups. This study evaluated the prevalence of periodontal disease in people of Spanish nationality and immigrants in Spain. Methods This population-based, cross-sectional study was carried out using data obtained from National Health Interview Surveys (NHSs) carried out in 2006, 2011/2012 and 2017 in Spain. Subjects aged 16 years and older were included in the NHS-2006 and aged 15 years and older were included in the other NHSs. The following variables were self-reported by the participants: gum bleeding, tooth mobility, tooth extraction and missing teeth. Chi-square homogeneity tests were performed to assess the main associations between the independent variable (nationality) and the dependent variables (bleeding gums, tooth mobility, tooth extraction and missing teeth). Multinomial logistic regression models were constructed to evaluate the influences of the variables age and sex and their interactions on the main associations. Results A total of 115,123 participants were included in the NHS-2006 (n = 37,327, 11.38% immigrants), NHS-2011/12 (n = 38,727, 14.39% immigrants) and NHS-2017 (n = 39,069, 13.71% immigrants). The variables directly related to periodontal disease were gum bleeding and tooth mobility. These were significantly associated with nationality in the NHS-2006 and NHS-2017 cohorts. In the NHS-2011/12 cohort, only tooth mobility was associated with nationality. After adjustments for sex, age, and their interactions, immigrant status was associated with increased odds of bleeding in only the NHS-2006 cohort (RR = 1.65, 95% CI 1.38-1.99, p = 0.000). Conclusion Immigrants in Spain have a lower probability of developing signs associated with periodontal disease than the Spanish population. Among the immigrant cohort, females and those in adult age groups had lower prevalence rates than their counterparts."	"10.1186/s12903-021-01579-z"
"abs13378"	"0"	""	""	""	""	"0"	"Speaking of Spirits: Oral History, Religious Change, and the Seen and Unseen Worlds of Hmong Americans"	"This essay argues that oral history allows scholars to see what might otherwise be invisible to them: the gods and spirits that are a forceful presence in the lives of religious people. Oral history changes how scholars write religious history by illuminating how choices of religious belief, practice, and identity are rooted in how religious people understand and interact with an unseen spiritual world. To illustrate this point, this essay focuses on the religious changes experienced by Hmong Americans. Hmong decisions to adopt Christianity or return to indigenous Hmong religion were religious choices that were the product of the constant interaction between Hmong people and the gods that richly populate their spiritual landscape."	"10.1093/ohr/ohw118"
"abs06451"	"1"	"2,3"	""	"15"	"1"	"1"	"Lessons from the Arctic past: The resource cycle, hydro energy development, and the human geography of Jokkmokk, Sweden"	"Recent research has identified a series of human geography impacts of natural resource developments in sparsely populated areas like the Arctic. These impacts can be mapped to the 'resource cycle', and arise from periods of population growth and decline, changing patterns of human migration and mobility, changing patterns of settlement, and changes in the demographic 'balance' between males and females, young and old, Indigenous and non-Indigenous. This paper examines the applicability of the resource cycle model in the case of hydro energy development in the Jokkmokk municipality of Sweden. Using quantitative demographic data, media reports, and contemporary accounts of hydro development, the paper describes the human geography of Jokkmokk since the late 19th century. The paper concludes that changes in human geography in Jokkmokk mirror what has been observed in regions dependent on non-renewable resources, although it is difficult to distinguish many impacts from those that might have occurred under alternative development scenarios. The paper identifies a 'settlement cycle' with phases of integrated and separated habitation for populations specifically associated with the development. Settlement dynamics, and the impacts of hydro on Sami geography are areas for further research. (C) 2016 Elsevier Ltd. All rights reserved."	"10.1016/j.erss.2016.03.003"
"abs22090"	"1"	"3"	""	"0"	"1"	"1"	"The education-chasing labor rush in China identified by a heterogeneous migration-network game"	"Despite persistent efforts in understanding the motives and patterns of human migration behaviors, little is known about the microscopic mechanism that drives migration and its association with migrant types. To fill the gap, we develop a population game model in which migrants are allowed to be heterogeneous and decide interactively on their destination, the resulting migration network emerges naturally as an Nash equilibrium and depends continuously on migrant features. We apply the model to Chinese labor migration data at the current and expected stages, aiming to quantify migration behavior and decision mode for different migrant groups and at different stages. We find the type-specific migration network differs significantly for migrants with different age, income and education level, and also differs from the aggregated network at both stages. However, a deep analysis on model performance suggests a different picture, stability exists for the decision mechanism behind the as-if unstable migration behavior, which also explains the relative invariance of low migration efficiency in different settings. Finally, by a classification of cities from the estimated game, we find the richness of education resources is the most critical determinant of city attractiveness for migrants, which gives hint to city managers in migration policy design."	"10.1038/s41598-020-68913-3"
"abs06962"	"1"	""	""	""	"1"	"1"	"Coronavirus and Migration: Analysis of Human Mobility and the Spread of COVID-19"	"Reactions, measures as well as discourses dealing with the current pandemic vary significantly across the world. While some countries were completely locked down, as was the case in Italy, some had claimed to have very few or no cases, as was the case in Turkey and Indonesia by March 10th, 2020. Nevertheless, the spread of COVID-19 from China has been clearly linked to those travelling from Wuhan in Hubei province in Central China. Therefore, it is important to understand the fravel density/volume of passengers carried as well as routes from Wuhan through connected main regional air travel hubs across China. In this study, we developed a model on migration and fravel intensity that can explain outbreak and spread of COVID-19 since it appeared at the end of 2019. We show that the presence of migrant stock populations of Chinese origin and the immigrant stock in China are useful indicators in the prediction of the spread of the outbreak worldwide in the event of interaction with several other macro factors. We argue that monitoring immigrant stock data and travel volume data based on human mobility corridors (i.e. origins and destinations), countries could have been better prepared and taken early measures to contain the spread of COVID-19."	"10.33182/ml.v17i2.935"
"abs07754"	"1"	"4,5"	""	"0"	""	"0"	"A Comparative Analysis of the Response of the UNHCR and Industrialized States to Rapidly Fluctuating Refugee Status and Asylum Applications: Lessons and Best Practices for RSD Systems Design and Administration"	"The full implementation of the 1951 Convention relating to the Status of Refugees and/ or its 1967 Protocol is contingent on the capacity of the UNHCR and state parties to respond to rapid fluctuations in new refugee status and asylum applications through the provision of fair, efficient, effective and independent refugee status determination (RSD) adjudicative structures and procedures. The number of new refugee status and asylum applications received by the UNHCR and six industrialized states (Australia, New Zealand, Canada, the United States, Sweden and the United Kingdom) between 2000 and 2008 show sharp variations in the number of persons seeking mandate or Convention refugee status. This article sets out a comparative analysis of the most pertinent concerns of the RSD systems within Canada, the United States, the United Kingdom and the UNHCR, which reveals critical deficiencies with respect to the appointment of highly qualified, independent refugee law decision makers at first instance and to the issue of consistency. The article concludes by underscoring the necessity and importance of the UNHCR and state parties to work in unison with regard to these international human rights instruments to manage their response to forced migratory flows and to ensure that their RSD systems conform to internationally recognized and accepted core values and standards for RSD adjudication."	"10.1093/ijrl/eeq001"
"abs07803"	"1"	"4"	""	"0"	""	"0"	"PEACE PROSPECTS AND IMPLICATIONS FOR UNRWA'S FUTURE: AN INTERNATIONAL LAW PERSPECTIVE"	"The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) is mandated by the United Nations General Assembly to provide humanitarian and development assistance, pending the just resolution of the Palestinian refugee question. This article examines what roles the Agency may be suited to fulfill in a post-conflict transition and peace-building scenario for Palestinian refugees. The article sets out the framework for considering UNRWA's future contributions, taking into account its current mandate, the historical exclusion of Palestine refugees from the benefits of the international protection system, and current policy approaches to resolving the refugee question. It argues that the Agency's decades-long relationship with the refugees and countries of asylum, its long-standing development activities with refugee communities, and recent institutional reforms could aid the implementation of durable solutions for Palestine refugees. Rather than a precipitous winding-down, a targeted transformation of the Agency should be considered for the day when a just resolution is achieved, taking into account its suitable role as a leading implementing partner in a transitional period."	"10.1093/rsq/hdp048"
