"value","Metric","N","Question","set","Split"
0.865225225225225,"ACC",2775,"Q1","Train",0.5
0.845821325648415,"ACC",2776,"Q1","Test",0.5
0.555613041613042,"JAC",2775,"Q2","Train",0.5
0.510932997118156,"JAC",2776,"Q2","Test",0.5
0.646126126126126,"JAC",2775,"Q3","Train",0.5
0.594380403458213,"JAC",2776,"Q3","Test",0.5
0.741599313599313,"JAC",2775,"Q4","Train",0.5
0.724210221814689,"JAC",2776,"Q4","Test",0.5
0.584144144144144,"JAC",2775,"Q5","Train",0.5
0.570605187319885,"JAC",2776,"Q5","Test",0.5
0.905945945945946,"ACC",2775,"Q6","Train",0.5
0.900936599423631,"ACC",2776,"Q6","Test",0.5
0.864998873112463,"ACC",4437,"Q1","Train",0.8
0.855085508550855,"ACC",1111,"Q1","Test",0.8
0.576118033420265,"JAC",4437,"Q2","Train",0.8
0.542709270927093,"JAC",1111,"Q2","Test",0.8
0.631057020509353,"JAC",4437,"Q3","Train",0.8
0.621962196219622,"JAC",1111,"Q3","Test",0.8
0.785242066175129,"JAC",4437,"Q4","Train",0.8
0.775877587758776,"JAC",1111,"Q4","Test",0.8
0.661482983998197,"JAC",4437,"Q5","Train",0.8
0.643564356435644,"JAC",1111,"Q5","Test",0.8
0.942303358124859,"ACC",4437,"Q6","Train",0.8
0.927992799279928,"ACC",1111,"Q6","Test",0.8
0.863426815213216,"ACC",5206,"Q1","Train",0.95
0.807272727272727,"ACC",276,"Q1","Test",0.95
0.600268920476373,"JAC",5206,"Q2","Train",0.95
0.567515151515152,"JAC",275,"Q2","Test",0.95
0.723780253553592,"JAC",5206,"Q3","Train",0.95
0.647272727272727,"JAC",275,"Q3","Test",0.95
0.808943740128911,"JAC",5206,"Q4","Train",0.95
0.763636363636364,"JAC",275,"Q4","Test",0.95
0.661736457933153,"JAC",5206,"Q5","Train",0.95
0.647272727272727,"JAC",275,"Q5","Test",0.95
0.949289281598156,"ACC",5206,"Q6","Train",0.95
0.956363636363636,"ACC",276,"Q6","Test",0.95
0.681334535617674,"ACC",5566,"Q1","Train",1.02
0.410729099574907,"JAC",5545,"Q2","Train",1.02
0.321370604147881,"JAC",5545,"Q3","Train",1.02
0.597538723424657,"JAC",5545,"Q4","Train",1.02
0.39819657348963,"JAC",5545,"Q5","Train",1.02
0.715058611361587,"ACC",5566,"Q6","Train",1.02
