Q1,Q2,Q3,Q4,Q5,Q6,id
[0],[],[],[],[],[1] ,abs12843
[1],[4 5],[1],[0],[],[0] ,abs12439
[1],[5],[],[0],[],[0] ,abs07902
[1],[6],[],[0],[],[1] ,abs01101
[0],[],[],[],[],[0] ,abs13378
[1],[2 3],[],[0],[],[1] ,abs06451
[1],[3],[],[0],[1],[1] ,abs22090
[1],[],[],[],[1],[1] ,abs06962
[1],[4 5],[],[0],[],[0] ,abs07754
[1],[4 5],[2],[0],[],[0] ,abs07803
[1],[4 5],[],[0],[],[0] ,abs12705
[1],[4],[2],[0],[],[1] ,abs21113
[1],[4 5 6 7],[],[0],[],[0] ,abs16410
[1],[5 6],[],[0],[],[0] ,abs09174
[1],[5],[1],[0],[],[0] ,abs18714
[1],[4 5],[],[],[],[0] ,abs18822
[0],[],[],[],[],[1] ,abs02393
[1],[4 6],[2],[0],[],[0] ,abs21100
[1],[2],[],[],[],[1] ,abs17097
[1],[3 6],[],[0],[],[0] ,abs19131
[1],[0],[],[0],[],[1] ,abs03434
[0],[],[],[],[1],[1] ,abs01056
[1],[6],[],[],[],[1] ,abs20782
[1],[4 5 6],[],[],[],[0] ,abs14929
[1],[3],[],[0],[],[1] ,abs05254
[1],[6],[1],[0],[1],[1] ,abs19490
[1],[5 6],[],[0],[],[0] ,abs08747
[1],[2],[],[3],[],[1] ,abs06686
[1],[5 6],[1],[0],[],[0] ,abs13395
[1],[4 5],[1],[0],[1],[1] ,abs12903
[1],[4 5 6],[2],[0],[],[1] ,abs08927
[1],[3],[2],[0],[],[0] ,abs18360
[1],[4],[],[],[],[1] ,abs21158
[1],[4 5 6],[],[0],[],[1] ,abs13325
[0],[],[],[],[],[0] ,abs18119
[0],[],[],[],[],[1] ,abs02239
[1],[5 6 7],[],[0],[],[0] ,abs16845
[1],[6],[],[0],[],[1] ,abs20751
[1],[5 6],[],[0],[],[0] ,abs10971
[1],[5],[],[0],[],[0] ,abs07897
[1],[1 2],[],[5],[],[0] ,abs20365
[1],[6],[],[0],[],[1] ,abs18843
[1],[4 5 6 7],[2],[0],[],[0] ,abs12938
[1],[0],[],[0],[],[1] ,abs21773
[0],[],[],[],[],[1] ,abs14041
[1],[5],[],[0],[],[0] ,abs07942
[0],[],[],[],[],[1] ,abs06882
[1],[6],[],[0],[],[1] ,abs19939
[1],[4 5 6 7],[],[0],[],[1] ,abs19331
[1],[6],[],[0],[],[0] ,abs21076
[1],[5 6],[],[0],[],[0] ,abs13125
[1],[4 5],[],[0],[1],[1] ,abs11975
[1],[5],[1],[0],[],[0] ,abs15517
[1],[4 5],[],[0],[],[1] ,abs19462
[1],[],[],[0],[],[1] ,abs03742
[1],[5],[],[0],[],[0] ,abs05702
[1],[4 5],[],[0],[],[0] ,abs09493
[1],[],[],[0],[],[1] ,abs10610
[1],[3],[2],[0],[],[0] ,abs02608
[1],[],[],[0],[],[1] ,abs10297
[1],[6],[1],[0],[],[0] ,abs08605
[1],[2],[],[],[],[1] ,abs02854
[1],[4 5 6],[2],[0],[],[0] ,abs05313
[1],[5],[1],[0],[],[0] ,abs11735
[1],[4 6],[],[],[],[0] ,abs09328
[1],[6],[2],[0],[],[1] ,abs11731
[0],[],[],[],[],[1] ,abs13740
[0],[],[],[],[],[1] ,abs09297
[1],[4],[2],[],[],[0] ,abs08596
[1],[1 2],[],[],[1],[0] ,abs18478
[1],[4 5],[],[0],[],[0] ,abs08601
[1],[2],[],[0],[],[1] ,abs06428
[1],[5],[],[0],[],[0] ,abs14748
[1],[2],[2],[3],[],[1] ,abs17155
[1],[4 5 6],[],[0],[],[0] ,abs08252
[1],[5],[1],[0],[1],[0] ,abs14494
[1],[],[],[0],[],[1] ,abs13987
[1],[],[],[],[],[0] ,abs02682
[1],[6],[],[],[],[1] ,abs20636
[0],[],[],[],[],[1] ,abs16378
[1],[2],[],[],[],[0] ,abs19982
[1],[1 2],[],[],[],[1] ,abs17512
[1],[],[2],[0],[],[0] ,abs20311
[1],[6],[],[0],[],[1] ,abs05037
[1],[2 6],[],[],[],[0] ,abs00329
[0],[],[],[],[],[1] ,abs17295
[1],[],[],[],[],[1] ,abs14292
[1],[5],[2],[0],[],[0] ,abs16103
[1],[],[],[],[],[1] ,abs18590
[1],[3],[2],[0],[1],[0] ,abs16073
[1],[3],[],[],[1],[1] ,abs19378
[1],[4 5 6],[],[0],[],[0] ,abs00458
[1],[4],[2],[],[],[1] ,abs14519
[0],[],[],[],[],[1] ,abs14333
[1],[3],[2],[0],[1],[1] ,abs22012
[1],[],[],[0],[],[1] ,abs21989
[1],[],[2],[],[],[0] ,abs21137
[1],[5],[1],[0],[1],[1] ,abs12257
[1],[6],[],[0],[],[1] ,abs14340
[1],[6],[],[0],[],[1] ,abs01684
[1],[4],[],[0],[],[0] ,abs16568
[1],[5],[],[0],[],[0] ,abs06043
[1],[6],[2],[0],[],[0] ,abs08191
[1],[5 6 7],[2],[0],[],[0] ,abs21473
[1],[3],[],[0],[],[1] ,abs05260
[1],[5 6],[],[],[],[0] ,abs09563
[1],[2],[2],[0],[],[1] ,abs07044
[1],[],[],[],[],[1] ,abs18405
[1],[3],[],[0],[1],[1] ,abs20219
[0],[],[],[],[],[1] ,abs02591
[0],[],[],[],[],[1] ,abs08013
[1],[4 5 6],[2],[0],[],[0] ,abs11603
[1],[5],[],[0],[],[0] ,abs17786
[1],[1 2],[],[],[],[0] ,abs17222
[1],[5 6],[],[0],[],[0] ,abs22092
[1],[1 2],[1],[],[1],[0] ,abs20403
[1],[6],[2],[0],[],[0] ,abs04803
[1],[3],[],[],[],[1] ,abs20517
[1],[2],[],[],[],[0] ,abs05094
[0],[],[],[],[],[1] ,abs17433
[0],[],[],[],[],[0] ,abs06180
[1],[5 6],[],[0],[],[0] ,abs07563
[1],[4 5],[2],[0],[],[1] ,abs15846
[1],[4 5 6],[2],[0],[],[0] ,abs15866
[1],[1 2],[2],[40],[],[1] ,abs04288
[1],[],[],[0],[],[1] ,abs13757
[1],[4],[2],[0],[],[1] ,abs21228
[1],[6],[],[0],[],[0] ,abs20363
[1],[3],[],[0],[],[1] ,abs18949
[1],[],[],[],[],[1] ,abs16999
[1],[6],[],[],[],[1] ,abs13059
[1],[5 6],[],[],[],[0] ,abs20180
[1],[4 5 6],[],[15],[],[1] ,abs09545
[1],[6],[2],[0],[],[1] ,abs14865
[1],[4 5],[],[0],[],[0] ,abs21138
[1],[4 5],[],[0],[],[0] ,abs03491
[1],[3 6],[],[0],[1],[1] ,abs17123
[1],[6],[],[0],[],[0] ,abs19098
[1],[],[],[0],[],[0] ,abs10629
[1],[6],[2],[0],[],[0] ,abs06319
[1],[5 6],[2],[0],[],[0] ,abs12146
[1],[4 6 7],[2],[0],[],[0] ,abs06058
[1],[4 5 6],[],[0],[],[0] ,abs16859
[1],[6],[2],[0],[],[0] ,abs07297
[1],[4],[],[],[1],[1] ,abs04202
[0],[],[],[],[],[0] ,abs04343
[1],[1 2],[2],[],[],[0] ,abs16474
[1],[3],[],[0],[1],[1] ,abs04224
[1],[4 5],[],[0],[],[1] ,abs16202
[1],[5 6],[],[0],[],[0] ,abs15859
[1],[6],[],[],[],[1] ,abs05624
[1],[2],[2],[0],[],[1] ,abs21899
[1],[6],[2],[0],[],[0] ,abs11824
[1],[6],[],[0],[1],[1] ,abs04286
[1],[4 5 6],[],[0],[],[0] ,abs13257
[1],[4 5 6],[1],[0],[],[0] ,abs07896
[1],[4],[2],[],[],[1] ,abs08071
[1],[4 5],[1],[0],[],[0] ,abs08447
[1],[],[2],[0],[],[1] ,abs06808
[1],[4 5 6],[2],[0],[],[0] ,abs08044
[1],[3],[],[],[],[1] ,abs20018
[1],[1 2 3],[],[],[1],[1] ,abs02951
[1],[2],[2],[],[],[1] ,abs06680
[1],[4 5 6],[],[0],[],[0] ,abs12755
[0],[],[],[],[],[1] ,abs17765
[1],[6],[1],[0],[],[1] ,abs21422
[1],[3],[],[0],[],[1] ,abs05075
[1],[4 5 6],[],[0],[],[0] ,abs16501
[1],[3],[],[],[],[1] ,abs19854
[1],[5],[1],[0],[],[0] ,abs11183
[1],[2],[],[],[1],[1] ,abs20361
[1],[1 2 3],[],[],[],[1] ,abs00690
[1],[4],[],[0],[],[1] ,abs00062
[1],[6],[1],[0],[],[0] ,abs21419
[1],[],[2],[0],[],[1] ,abs13725
[1],[7],[],[0],[],[0] ,abs02819
[1],[6],[],[0],[],[0] ,abs21544
[1],[4 6],[1],[],[1],[1] ,abs08043
[1],[5 6],[],[0],[1],[1] ,abs03186
[1],[6],[2],[0],[],[1] ,abs11878
[1],[3],[],[0],[1],[1] ,abs00446
