Q1,Q2,Q3,Q4,Q5,Q6,id
1,[4 5],[],[0],[],[0] ,abs07315
[1],[2],[],[0],[],[1] ,abs21792
[0],[4 5],[],[],[1],[1] ,abs08783
[1],[4 6],[2],[0],[],[0] ,abs08245
[1],[6],[2],[0],[],[1] ,abs21550
[1],[3 6],[],[],[],[1] ,abs20018
[1],[5 6],[],[0],[],[0] ,abs20358
[1],[5 6],[],[0],[],[0] ,abs01005
[1],[5 6],[],[0],[],[0] ,abs12698
[1],[6],[],[0],[1],[1] ,abs20262
[0],[],[],[],[1],[1] ,abs18568
[0],[],[],[],[],[1] ,abs04561
[0],[],[],[],[1],[1] ,abs19809
[1],[3 6],[],[0],[1],[1] ,abs20739
[1],[6],[2],[0],[],[0] ,abs15183
[1],[6],[],[0],[1],[1] ,abs05533
[0],[],[],[],[],[0] ,abs12131
[1],[6],[2],[0],[],[1] ,abs17250
[1],[2],[],[14],[],[1] ,abs19925
1,[3 6],[],[0],1,1 ,abs18879
[0],[],[],[],[0],[1] ,abs13849
[1],[2],[],[0],[],[1] ,abs21795
1,[5 6],[1],[0],1,0 ,abs16435
[1],[3 6],[],[3],[1],[1] ,abs20524
[1],[4 5],[],[15],[1],[1] ,abs18046
[0],[],[],[],[0],[1] ,abs08708
[0],[],[],[],[],[0] ,abs08541
[1],[7],[],[0],[],[1] ,abs03459
[1],[6],[2],[0],[],[1] ,abs03942
[1],[6],[],[0],[],[1] ,abs21381
[1],[4 5 6 7],[],[0],[],[1] ,abs13490
[1],[4 5],[1],[23],[],[0] ,abs15700
[1],[4 5 6],[2],[0],[],[0] ,abs12820
[0],[],[],[],[1],[1] ,abs04400
[1],[2],[],[0],[1],[1] ,abs03188
[1],[2],[],[12],[],[1] ,abs17230
1,6,[],[],1,1 ,abs21652
[1],[2 4 5],[],[7],[],[1] ,abs10907
[1],[2],[2],[9 30],[1],[1] ,abs10011
1,3,2,[],1,1 ,abs18687
1,4 5,1,0,1,0 ,abs07326
[1],[0],[0],[3],[1],[1] ,abs02635
[1],[2],[],[10],[],[1] ,abs10322
[1],[2],[],[3],[],[1] ,abs04423
[1],[2],[],[0],[],[1] ,abs22262
[0],[],[],[],[],[1] ,abs06393
1,6 7,1,0,1,0 ,abs19842
1,3,2,[0],1,1 ,abs06787
[1],[4 5 6],[],[0],[],[0] ,abs05966
[1],[4 5 6],[2],[0],[],[0] ,abs15866
[0],[],[],[],[],[0] ,abs09482
[1],[2],[2],[12],[1],[1] ,abs21866
[0],[],[],[],[0],[1] ,abs02685
[1],[4 5 6],[],[0],[1],[1] ,abs16524
[1],[4 5],[],[3],[],[1] ,abs07968
[0],[],[2],[0],[1],[1] ,abs17341
[1],[4 5],[1],[0],[1],[0] ,abs11697
[1],[6],[2],[0],[1],[1] ,abs20880
[1],[6],[2],[0],[],[0] ,abs04309
[0],[],[],[],[0],[1] ,abs10076
1,[4 5],[],[0],[],[0] ,abs07242
[1],[4 5 6],[2],[0],[1],[0] ,abs12755
[1],[1 2],[2],[9 22 33 40],[1],[1] ,abs18686
[0],[],[],[],[1],[1] ,abs18350
[1],[6],[2],[0],[1],[0] ,abs20363
[1],[4 6],[],[0],[1],[1] ,abs15675
[1],[4 5],[1],[0],[],[0] ,abs04035
[0],[],[],[],[],[1] ,abs04655
[0],[],[],[],[0],[1] ,abs14813
[1],[4 5],[],[0],[1],[1] ,abs08824
[0],[],[],[],[1],[1] ,abs02104
[0],[],[],[],[],[1] ,abs09704
1,[4 5 6],2,[0],1,1 ,abs06138
1,1 2,2,2,1,1 ,abs15328
[1],[4 5],[],[0],[1],[1] ,abs07791
1,4 5,2,0,1,0 ,abs13037
[1],[4 5],[1],[0],[],[0] ,abs13613
[0],[],[],[],[0],[0] ,abs05377
[1],[6],[],[0],[1],[1] ,abs04718
[0],[],[],[],[1],[1] ,abs15709
[1],[2 4 5],[],[15],[1],[1] ,abs16837
[0],[],[2],[0],[1],[1] ,abs09325
[1],[5],[1],[0],[1],[0] ,abs12584
[0],[],[],[],[1],[1] ,abs14678
[1],[4 5],[1],[0],[1],[0] ,abs13539
[1],[6 7],[1],[0],[1],[0] ,abs14983
[1],[4 5],[],[0],[],[1] ,abs21036
1,4 5,2,0,1,1 ,abs11039
[1],[3 6],[2],[0],[1],[0] ,abs19466
1,[4 6],2,[0],1,1 ,abs18818
[1],[4 5],[1],[0],[1],[0] ,abs11898
[1],[2],[],[16 22],[],[1] ,abs01694
1,[7],[],[0],[],1 ,abs20208
[1],[4 5],[1],[0],[],[0] ,abs16757
[1],[3],[1],[0],[1],[1] ,abs16563
1,4 5 6 7,2,0,1,1 ,abs19331
[1],[6],[0],[0],[],[0] ,abs13462
1,4 5,1,0,1,0 ,abs11587
[1],[4 5],[],[0],[],[0] ,abs11072
[1],[3],[2],[0],[1],[1] ,abs01187
[0],[],[],[],[1],[1] ,abs11280
[1],[2],[],[3],[],[1] ,abs04443
[1],[1 2],[2],[7],[1],[1] ,abs15475
[1],[4 5],[2],[0],[1],[1] ,abs08461
[0],[],[],[],[0],[1] ,abs03689
[1],[4 5 6],[1],[0],[1],[0] ,abs12023
[1],[4],[2],[0],[],[1] ,abs08596
[1],[2],[2],[0],[1],[1] ,abs19749
[0],[],[],[],[1],[1] ,abs18286
[1],[6],[],[0],[],[0] ,abs09522
[1],[4 6],[2],[0],[],[1] ,abs12206
[0],[],[],[],[0],[0] ,abs11671
[0],[],[],[],[0],[1] ,abs12998
[1],[4 5 6 7],[],[0],[],[1] ,abs06137
