Q1,Q2,Q3,Q4,Q5,Q6,id
0,,,,,0,abs00000
1,6,,0,,1,abs00001
1,3 6,2,,,1,abs00002
0,,,,,1,abs00003
1,6,,0,,0,abs00004
1,6,,0,,0,abs00005
1,,,0,,1,abs00006
1,6,2,0,,0,abs00007
0,,,,,1,abs00008
0,,,,,1,abs00009
1,6,,0,,0,abs00010
1,1 2,,26,,1,abs00011
1,3,2,0,1,1,abs00012
1,6,,0,,1,abs00013
0,,,,,1,abs00014
1,6,,0,,0,abs00015
1,6,,0,,0,abs00016
1,3,2,0,,1,abs00017
1,,,,,1,abs00018
1,,,,,0,abs00019
1,1 2,,9,1,1,abs00020
1,6,,,,0,abs00021
1,6,,0,,1,abs00022
1,,,,,1,abs00023
1,6,,,,1,abs00024
1,3,2,,,1,abs00025
1,6,,0,,0,abs00026
1,6,,0,,1,abs00027
0,,,,,1,abs00028
1,6,,0,,1,abs00029
1,6,,0,,0,abs00030
0,,,,,1,abs00031
1,2,,,,1,abs00032
0,,,,,0,abs00033
0,,,,,1,abs00034
1,3,1,0,1,1,abs00035
1,4,,,,1,abs00036
1,6,1,0,,0,abs00037
1,6,,0,,1,abs00038
1,5,1,0,,0,abs00039
1,5,2,0,1,1,abs00040
1,6,1,,,0,abs00041
1,,2,,,1,abs00042
1,6,,0,,1,abs00043
0,,,,,1,abs00044
0,,,,,1,abs00045
1,,,,,1,abs00046
0,,,,,1,abs00047
0,,,,,0,abs00048
1,3,2,,1,1,abs00049
0,,,,,1,abs00050
0,,,,,1,abs00051
0,,1,,,1,abs00052
1,6,,0,,0,abs00053
1,1 2,2,9,,1,abs00054
1,,2,0,,1,abs00055
1,6,,0,,1,abs00056
1,2 3 6,,,,1,abs00057
0,,,,,1,abs00058
0,,,,,1,abs00059
1,5 6,2,,,0,abs00060
1,6,2,0,,0,abs00061
1,4,,0,,1,abs00062
1,6,2,0,,0,abs00063
1,6,2,,,0,abs00064
1,1 2,,7,1,0,abs00065
1,5,0,0,,0,abs00066
1,1 2,2,7 15,,0,abs00067
1,6,,0,,1,abs00068
1,0,,0,,0,abs00069
1,5 6,,0,1,1,abs00070
1,2,,,,1,abs00071
1,1 2 6,,40,1,1,abs00072
1,3 6,,0,,1,abs00073
1,1 2,,7 26,1,1,abs00074
0,,,,,1,abs00075
1,3,2,0,,1,abs00076
1,6,2,0,,0,abs00077
1,6,,,1,1,abs00078
1,3,,0,1,1,abs00079
1,6,,0,,1,abs00080
1,4 5,1,0,1,1,abs00081
1,6,,0,1,1,abs00082
1,3,,0,,0,abs00083
1,2,,,,1,abs00084
1,6,,0,,1,abs00085
1,3,,0,1,1,abs00086
1,3,,21,,1,abs00087
0,,,,,1,abs00088
0,,,,,1,abs00089
0,,,,,1,abs00090
0,,,,,1,abs00091
1,,,0,,1,abs00092
1,6,,0,,1,abs00093
1,,,0,1,1,abs00094
1,3,,0,,0,abs00095
1,1 4 5 6,,,,1,abs00096
1,,2,0,,1,abs00097
1,,,0,,0,abs00098
0,,,,,1,abs00099
1,,,0,,1,abs00100
1,4,2,0,,1,abs00101
1,4 5,,,,0,abs00102
1,1 2,,,,0,abs00103
1,6,,0,,1,abs00104
1,2,,,,1,abs00105
1,4 5 6,,0,,1,abs00106
0,,,,,1,abs00107
1,6,,0,,0,abs00108
1,,1,,,1,abs00109
1,2,,12,,1,abs00110
1,,,0,,1,abs00111
1,,,0,,0,abs00112
1,2,,,1,1,abs00113
0,,,,,0,abs00114
0,,,,,1,abs00115
1,,1,0,,1,abs00116
1,,,0,,1,abs00117
0,,,,,1,abs00118
0,,,,,1,abs00119
1,3,2,0,1,0,abs00120
1,6,,0,,1,abs00121
1,3,,,,1,abs00122
1,5 6,,,,0,abs00123
1,5 6,,0,,0,abs00124
0,,,,,1,abs00125
1,6,,0,,1,abs00126
1,6,,0,,1,abs00127
1,0,0,0,,1,abs00128
0,,,,,1,abs00129
1,3,2,0,1,1,abs00130
0,,,,,1,abs00131
1,7,2,0,,0,abs00132
1,3,2,,1,1,abs00133
1,,2,,,0,abs00134
0,,,,,1,abs00135
1,2,,,,1,abs00136
0,,,,,0,abs00137
1,3,,0,,1,abs00138
1,,2,,,1,abs00139
0,,,,,1,abs00140
1,6,,0,,1,abs00141
0,,,,,0,abs00142
1,4,2,0,,1,abs00143
1,1 2,,22,1,1,abs00144
1,2,,26,,1,abs00145
1,6,,,,1,abs00146
1,3,,0,,1,abs00147
1,3 6,,,1,1,abs00148
1,1 2,,,,1,abs00149
1,6,,,,1,abs00150
1,3,2,0,,1,abs00151
1,6,,0,,1,abs00152
1,2,,,,1,abs00153
1,6,2,0,,0,abs00154
1,6,,,,1,abs00155
1,5,,0,,0,abs00156
0,,,,,1,abs00157
1,6,,0,,0,abs00158
0,,,,,1,abs00159
1,,2,0,,0,abs00160
1,5 6,1,0,,1,abs00161
0,,,,,1,abs00162
1,1 2,,,,1,abs00163
1,6,1,0,,0,abs00164
1,3,,0,1,1,abs00165
0,,,,,1,abs00166
1,2,,,,1,abs00167
1,3,2,,1,1,abs00168
1,0,,0,,1,abs00169
0,,,,,1,abs00170
1,6,2,0,,0,abs00171
0,,,,,1,abs00172
1,1 4,,,1,1,abs00173
0,,,,,1,abs00174
1,6,,,,1,abs00175
1,1 2,2,7,,1,abs00176
1,,,0,,1,abs00177
1,3,2,7,,0,abs00178
1,2,,,,1,abs00179
0,,,,,1,abs00180
1,4,2,0,,1,abs00181
1,2,,,,1,abs00182
0,,,,,1,abs00183
1,2,2,,,1,abs00184
1,0,,0,,1,abs00185
1,6,,0,,0,abs00186
0,,,,,1,abs00187
1,2,,0,,1,abs00188
1,,2,0,,0,abs00189
0,,,,,1,abs00190
0,,,,,1,abs00191
1,2 3 6,,,,0,abs00192
1,,2,0,,1,abs00193
0,,,,,1,abs00194
1,4,2,0,,0,abs00195
1,2,,,,0,abs00196
1,3,,,,1,abs00197
0,,,,,0,abs00198
1,2,,,,1,abs00199
1,6,,0,,0,abs00200
1,2 3,2,,1,1,abs00201
1,2,2,,,1,abs00202
1,3,,0,1,1,abs00203
1,3,,,,0,abs00204
0,,,,,1,abs00205
0,,,,,0,abs00206
1,4 5,1,,,0,abs00207
1,6,,0,,1,abs00208
1,2,,5,,1,abs00209
1,1 2,,7,,1,abs00210
1,6,,0,,1,abs00211
0,,,,,1,abs00212
1,3,,0,1,1,abs00213
1,6,,,,1,abs00214
0,,,,,0,abs00215
1,6,,0,,1,abs00216
1,7,2,,1,1,abs00217
1,,,0,,1,abs00218
1,2 3,,7,,1,abs00219
1,3,,0,,1,abs00220
1,3,,0,,1,abs00221
0,,,,,0,abs00222
1,6,,0,,0,abs00223
1,6,,0,,0,abs00224
1,4 5,,0,,0,abs00225
1,6,,0,,0,abs00226
1,,,,,1,abs00227
1,6,,0,,0,abs00228
0,,,,,0,abs00229
1,3,,0,,1,abs00230
1,6,,0,,1,abs00231
0,,,,,1,abs00232
1,3,,0,,1,abs00233
1,4 5,1,0,,0,abs00234
1,1 2,,14 26,,1,abs00235
1,5 6,1,0,,0,abs00236
1,6,2,0,,1,abs00237
1,1 2,2,,,0,abs00238
1,2,1,,,1,abs00239
1,2,,,,1,abs00240
1,3,2,0,,1,abs00241
0,,,,,0,abs00242
0,,,,,1,abs00243
0,,,,,1,abs00244
1,4 5,,0,,0,abs00245
1,3,,0,,1,abs00246
1,3,,0,,0,abs00247
0,,,,,0,abs00248
1,5,,0,1,1,abs00249
1,3,,0,1,1,abs00250
1,5,,0,,0,abs00251
1,0,,0,,1,abs00252
0,,,,,1,abs00253
1,2,,0,,1,abs00254
1,3,,0,,0,abs00255
1,3,,0,,0,abs00256
1,0,,0,,1,abs00257
0,,,,,1,abs00258
0,,,,,1,abs00259
0,,,,,1,abs00260
1,3,,0,,0,abs00261
1,3,,,1,0,abs00262
1,6,,0,,1,abs00263
1,5,2,0,,0,abs00264
1,6,,0,,0,abs00265
1,3,,0,1,1,abs00266
1,6,,,,0,abs00267
1,6,,,,0,abs00268
1,5,,0,,0,abs00269
1,6,,,,1,abs00270
0,,,,,0,abs00271
1,6,,,,1,abs00272
1,6,,0,,1,abs00273
0,,,,,0,abs00274
1,6,,0,,0,abs00275
0,,,,,0,abs00276
1,5,,0,1,1,abs00277
1,1 2,,,,1,abs00278
1,2 3,,,1,1,abs00279
1,6,,0,,1,abs00280
1,6,,,,1,abs00281
1,5,1,0,,0,abs00282
0,,,,,1,abs00283
1,4 5 6,2,0,,0,abs00284
1,7,,0,,1,abs00285
0,,,,,0,abs00286
0,,,,,1,abs00287
